Incident Date,State,City Or County,Address,# Killed,# Injured,#Total
6-Jan-21,Virginia,Manassas,10010 Ellis Rd,3,3,6
4-Jan-21,Louisiana,New Orleans,1600 block of N Galvez St,0,4,4
4-Jan-21,Florida,Tampa,1225 S 78th St,0,5,5
4-Jan-21,Florida,Fort Lauderdale (Lauderhill),1828 NW 38th Ave,0,7,7
3-Jan-21,Oregon,Gresham,NE 181st Ave and NE San Rafael St,0,4,4
3-Jan-21,Texas,Houston,2900 Travis St,1,4,5
3-Jan-21,Florida,Miami,3632 NW 25th Ave,0,6,6
3-Jan-21,Louisiana,Shreveport,6900 block of Jewella Ave,2,3,5
3-Jan-21,California,Santa Barbara,1200 block of Liberty St,2,2,4
3-Jan-21,Florida,Miami,10525 NW 24th Ave,0,8,8
1-Jan-21,Arkansas,Fort Smith,3211 Towson Ave,0,7,7
1-Jan-21,Texas,Amarillo,2650 Dumas Dr,1,3,4
1-Jan-21,Iowa,Sioux City,2637 S Walker St,1,4,5
1-Jan-21,Illinois,Galesburg,1000 block of Monroe St,0,4,4
31-Dec-20,Indiana,Indianapolis,8215 Center Run Road,1,3,4
31-Dec-20,Oregon,Happy Valley,9200 block of SE Idleman Rd,0,4,4
26-Dec-20,Illinois,Rockford,4007 E State St,3,3,6
26-Dec-20,Florida,Tampa,N 20th St and E 7th Ave,2,2,4
26-Dec-20,Massachusetts,Lynn,Washington St and Quincy Ter,1,5,6
26-Dec-20,Florida,Miami,NW 61st St and NW 13th Ave,1,3,4
25-Dec-20,Florida,Boynton Beach,Martin Luther King Jr Blvd and N Seacrest Blvd,1,4,5
25-Dec-20,Arkansas,Atkins,5180 Pine Ridge Rd,5,0,5
24-Dec-20,Florida,Lakeland,1500 block of Amos Ave,1,4,5
22-Dec-20,Mississippi,Meridian,Jeffrey Acres Rd,5,0,5
20-Dec-20,Connecticut,Bridgeport,456 Connecticut Ave,2,2,4
19-Dec-20,Illinois,Chicago,8936 S Cottage Grove Ave,0,6,6
13-Dec-20,West Virginia,Elkview,1384 Cemetery Hill Dr,4,0,4
12-Dec-20,California,San Bernardino,900 block of N Sierra Way,1,3,4
12-Dec-20,New York,Copiague,2336 Great Neck Rd,2,2,4
12-Dec-20,New York,Brooklyn,574 Warren St,0,4,4
12-Dec-20,Maryland,Hyattsville (Landover),8600 block of Old Ardmore Rd,2,2,4
10-Dec-20,Georgia,Tifton,700 block of 17 1/2 St,0,4,4
10-Dec-20,Mississippi,Jackson,1805 Hospital Dr,0,5,5
