Incident Date,State,City Or County,Address,# Killed,# Injured,#Total
1-Jan-20,Missouri,Saint Louis,3000 block of S Jefferson Ave,3,2,5
29-Dec-19,Illinois,Danville,1803 block of Westview Ave,0,5,5
29-Dec-19,New York,Buffalo,50 block of Henrietta Ave,1,3,4
29-Dec-19,California,Ceres,800 block of Allacante Dr,0,5,5
27-Dec-19,California,Modesto,1900 block of Vernon Ave,1,3,4
27-Dec-19,Georgia,Kennesaw,1575 Ridenour Pkwy NW,0,4,4
27-Dec-19,Texas,Houston,500 block of Smart St,2,7,9
26-Dec-19,Florida,Saint Petersburg,4300 6th St S,0,5,5
25-Dec-19,California,Oakland,2100 block of 34th Ave,0,4,4
25-Dec-19,Iowa,Coralville,954 Boston Way,1,3,4
25-Dec-19,Virginia,Richmond,1800 E Main St,1,3,4
24-Dec-19,Louisiana,New Orleans,6400 block of General Meyer Ave,0,4,4
24-Dec-19,Illinois,Joliet,1200 block of Cutter Ave,0,5,5
24-Dec-19,North Carolina,High Point,1226 Montlieu Ave,0,6,6
22-Dec-19,Maryland,Baltimore,225 Park Ave,0,7,7
22-Dec-19,Minnesota,Minneapolis (Spring Lake Park),8407 Plaza Blvd NE,1,7,8
22-Dec-19,Illinois,Chicago,5700 block of S May St,0,13,13
21-Dec-19,Louisiana,Edgard,2555 LA-18,0,4,4
20-Dec-19,Mississippi,Waynesboro,Turner St,1,6,7
20-Dec-19,Alabama,Tuskegee,2900 block of Davison St,2,2,4
18-Dec-19,Texas,San Antonio,2418 SW Military Dr,0,4,4
17-Dec-19,Montana,Great Falls,1701 10th Ave S,4,1,5
15-Dec-19,Georgia,Columbus,600 block of 32nd St,1,4,5
14-Dec-19,California,Ivanhoe,15700 block of Paradise Ave,0,4,4
12-Dec-19,Missouri,Saint Louis (Moline Acres),9900 block of Lewis and Clark Blvd,1,3,4
10-Dec-19,New Jersey,Jersey City,223 Martin Luther King Dr,6,3,9
8-Dec-19,Texas,Desoto,200 block of W Wintergreen Rd,2,3,5
8-Dec-19,Louisiana,New Orleans,3801 Washington Ave,1,4,5
6-Dec-19,Florida,Pensacola,280 Taylor Rd,4,8,12
4-Dec-19,Alabama,Montgomery,500 Eastdale Rd S,2,2,4
1-Dec-19,Louisiana,Cotton Valley,116 Hawthorne Loop,2,3,5
1-Dec-19,Louisiana,New Orleans,2000 block of N Dorgenois St,2,2,4
1-Dec-19,Illinois,Aurora,700 block of S 5th St,1,4,5
1-Dec-19,Michigan,Kalamazoo,6300 block of Proctor St,1,3,4
1-Dec-19,Louisiana,New Orleans,700 block of Canal St,0,12,12
30-Nov-19,Arkansas,Hensley,6500 block of E Sardis Rd,0,5,5
29-Nov-19,Texas,Amarillo,2650 Dumas Dr,0,7,7
27-Nov-19,New York,Bronx,E 153rd St and Courtlandt Ave,0,5,5
25-Nov-19,Florida,Brownsville,NW 29th Ave and 44th St,2,2,4
24-Nov-19,Alabama,Birmingham,7 15th St W,1,4,5
24-Nov-19,California,Los Angeles,100 block of E 11th St,0,6,6
24-Nov-19,Louisiana,Cottonport,3846 LA-29,2,2,4
23-Nov-19,California,Los Angeles,833 S Spring St,0,4,4
23-Nov-19,Louisiana,Tallulah,Depot St,1,6,7
21-Nov-19,California,Long Beach,1100 block of 10th St,0,5,5
21-Nov-19,Washington,Everett,120 West Casino Rd,0,4,4
20-Nov-19,California,Richmond,20th St and Roosevelt Ave,0,4,4
18-Nov-19,New Jersey,Newark,139 S 8th St,1,4,5
17-Nov-19,California,Fresno,5361 E Lamona Ave,4,6,10
17-Nov-19,Ohio,Cleveland,7100 block of Lawn Ave,0,4,4
16-Nov-19,California,San Diego,2152 Flintridge Dr,6,0,6
14-Nov-19,California,Santa Clarita,21900 Centurion Way,3,3,6
11-Nov-19,Florida,Belle Glade,SW 7th St,0,4,4
10-Nov-19,Missouri,Kansas City,4704 Independence Ave,0,4,4
10-Nov-19,Tennessee,Memphis,2080 E. Brooks Rd,1,4,5
10-Nov-19,Arkansas,Little Rock,3000 block of W 12th St,0,4,4
9-Nov-19,Michigan,Detroit,3800 block of E McNichols Rd,0,4,4
9-Nov-19,Georgia,Vidalia,Wiggins St,0,4,4
8-Nov-19,North Carolina,Raleigh,503 Bragg St,1,3,4
7-Nov-19,Georgia,Conyers,1800 block of Green St,2,3,5
4-Nov-19,Texas,Houston,5000 block of Northridge Dr,1,4,5
3-Nov-19,Ohio,Toledo,600 block of Magnolia St,0,4,4
3-Nov-19,Texas,Nacogdoches,Sandyland Cir and CR 823,1,3,4
2-Nov-19,Louisiana,Baton Rouge,137 Taylor St,0,4,4
2-Nov-19,Michigan,Detroit,7000 block of E. Kirby,1,4,5
1-Nov-19,Arizona,Tolleson,2434 S 86th Ln,0,5,5
1-Nov-19,Texas,San Angelo,1616 S Chadbourne St,0,4,4
31-Oct-19,California,Orinda,114 Lucille Way,5,3,8
30-Oct-19,Pennsylvania,Philadelphia,5026 Walton Ave,4,0,4
29-Oct-19,Maryland,Baltimore,4700 block of Liberty Heights Ave,1,3,4
29-Oct-19,California,Long Beach,2709 E 7th St,3,9,12
28-Oct-19,Maryland,Baltimore,4160 Pimlico Rd,1,3,4
27-Oct-19,Michigan,Detroit,East Outer Dr and Helen St,0,4,4
27-Oct-19,Michigan,Lansing,Balfour Dr and W Miller Rd,1,4,5
26-Oct-19,Texas,Greenville,2275 US-380,2,6,8
24-Oct-19,Oklahoma,Oklahoma City,1900 block of NW 12th St,2,2,4
22-Oct-19,Oklahoma,Oklahoma City (Midwest City),7020 E Green Ave,1,3,4
21-Oct-19,South Carolina,Sumter,29 Wesmark Blvd,0,4,4
20-Oct-19,Texas,Port Arthur,1100 block of Vicksburg Ave,1,3,4
19-Oct-19,Pennsylvania,Duquesne,600 block of Priscilla Ave,0,4,4
19-Oct-19,Texas,El Paso,3812 Truman Ave,1,4,5
15-Oct-19,Ohio,Columbus,1600 block of Manchester Ave,0,4,4
13-Oct-19,Pennsylvania,Philadelphia,W Clearfield St and N 8th St,0,6,6
13-Oct-19,Ohio,Akron,Main St,0,4,4
12-Oct-19,New York,Brooklyn,75 Utica Ave,4,3,7
12-Oct-19,Illinois,Chicago,6733 W Irving Park Rd,5,0,5
12-Oct-19,Pennsylvania,Philadelphia,700 block of W Russell St,1,3,4
12-Oct-19,Maryland,Baltimore,800 block of W Lexington St,1,3,4
12-Oct-19,Michigan,Eastpointe,15163 E 10 Mile Rd,1,5,6
10-Oct-19,Florida,Tampa,5410 N Falkenburg Rd,2,2,4
10-Oct-19,Pennsylvania,Philadelphia,900 block of S 5th St,0,5,5
9-Oct-19,Massachusetts,Lowell,149 Ennell Street,0,5,5
9-Oct-19,Maryland,Baltimore,1600 block of W North Ave,1,3,4
7-Oct-19,Massachusetts,Abington,135 Centre Ave,5,0,5
6-Oct-19,Indiana,Evansville,1127 Chestnut St,0,5,5
6-Oct-19,Colorado,Denver,7100 block of Ruth Way,0,4,4
6-Oct-19,Kansas,Kansas City,1013 Central Ave,4,5,9
5-Oct-19,Missouri,Saint Louis,10035 Crown Point Dr,0,5,5
3-Oct-19,North Carolina,Roxboro,700 South Foushee St,1,3,4
3-Oct-19,Missouri,Marshall,S Olson Ave,1,3,4
1-Oct-19,Missouri,Saint Louis,Leonor K. Sullivan Blvd and Poplar St,0,4,4
29-Sep-19,Illinois,Round Lake (Round Lake Park),500 block of Fairlawn Ave,1,3,4
29-Sep-19,Wisconsin,Milwaukee,1500 block of N 29th St,0,4,4
29-Sep-19,Florida,Jacksonville,2200 block of Clemente Dr,0,4,4
29-Sep-19,Kansas,Claflin,1500 block of NE 100th Rd,0,4,4
29-Sep-19,Texas,Beaumont,4100 block of Highland Ave,4,0,4
24-Sep-19,Illinois,Chicago,2000 block of South Hoyne Ave,1,3,4
23-Sep-19,Indiana,Gary,1600 block of Connecticut St,2,2,4
22-Sep-19,Missouri,Kansas City,2111 Television Plaza,0,5,5
21-Sep-19,Louisiana,New Orleans,Poland Ave and St. Claude Ave,0,4,4
21-Sep-19,South Carolina,Lancaster,1399 Old Charlotte Rd,2,8,10
21-Sep-19,Indiana,Indianapolis,101 W Maryland St,0,6,6
21-Sep-19,Ohio,Cleveland,3616 East 144th St,4,0,4
20-Sep-19,Louisiana,New Orleans,Canal Blvd and City Park Ave,1,5,6
19-Sep-19,District of Columbia,Washington,1300 block of Columbia Rd NW,1,5,6
18-Sep-19,Illinois,Chicago,4200 block of W Madison St,3,1,4
18-Sep-19,California,Wilmington,800 block of Bayview Ave,2,2,4
16-Sep-19,Wyoming,Cheyenne,3436 E 11th St,2,2,4
14-Sep-19,Missouri,Saint Louis,5200 block of Tennessee Ave,1,3,4
14-Sep-19,California,Oakland,38th Ave and MacArthur Blvd,1,4,5
14-Sep-19,Georgia,Lagrange,1400 block of Elm St,0,4,4
12-Sep-19,New Mexico,Albuquerque,1919 Ladera Dr NW,1,4,5
12-Sep-19,New Mexico,Albuquerque,1028 Lura Pl SW,4,2,6
10-Sep-19,Illinois,Chicago,2200 block of W Maypole Ave,0,4,4
8-Sep-19,South Carolina,Sumter,1083 Broad St,2,2,4
8-Sep-19,Louisiana,Alexandria,2900 block of Cypress St,1,3,4
7-Sep-19,North Carolina,Whiteville,Brittany Ln,3,1,4
4-Sep-19,Louisiana,Marrero,3044 Sorbonne Dr,2,2,4
4-Sep-19,Florida,Jacksonville,400 W 62nd St,0,4,4
2-Sep-19,North Carolina,Greensboro,5528 W Market St,2,2,4
2-Sep-19,Illinois,Chicago,6200 block of S King Dr,0,4,4
2-Sep-19,Alabama,Elkmont,25019 Ridge Road,5,0,5
1-Sep-19,Connecticut,Hartford,80 Edgewood St,1,3,4
1-Sep-19,North Carolina,Rocky Mount,521 Country Club Road,0,4,4
1-Sep-19,Alabama,Valley,502 Boulevard,0,7,7
1-Sep-19,Ohio,Toledo,3257 Stickney Ave,0,4,4
31-Aug-19,North Carolina,Charlotte,10035 Dabney Dr,1,3,4
31-Aug-19,South Carolina,Moncks Corner,336 Maplewood Rd,0,4,4
31-Aug-19,Texas,Odessa,8250 TX 191,8,23,31
31-Aug-19,Pennsylvania,Philadelphia,4600 block of 4th St,2,2,4
31-Aug-19,Maryland,Baltimore,900 block of N Monroe St,0,4,4
31-Aug-19,Maryland,Frederick,600 block of N Market St,0,4,4
31-Aug-19,Illinois,Chicago,7100 block of S Paulina St,2,3,5
30-Aug-19,Alabama,Mobile,1621 Virginia St,0,6,6
30-Aug-19,Maryland,Baltimore,1600 block of E 29th St,1,3,4
29-Aug-19,Maryland,Baltimore,2500 block of E Monument St,1,3,4
25-Aug-19,New Mexico,Hobbs,1700 block of E Bond St,3,4,7
25-Aug-19,Illinois,Chicago,8200 block of S Maryland Ave,1,3,4
24-Aug-19,Maryland,Temple Hills (Camp Springs),6200 block of Maxwell Dr,0,7,7
24-Aug-19,Massachusetts,Lynn,Warren Street,1,3,4
23-Aug-19,Texas,Houston,4900 block of Southwind St,3,2,5
23-Aug-19,Georgia,Dublin,200 Riverview Park Dr,0,4,4
23-Aug-19,Missouri,Saint Louis,1122 Union Blvd,1,3,4
22-Aug-19,South Carolina,Columbia,851 Bush River Rd,2,2,4
22-Aug-19,California,Los Angeles,300 block of West Fifth St,0,4,4
20-Aug-19,Georgia,Atlanta,111 James P Brawley Dr SW,0,4,4
18-Aug-19,Missouri,Kansas City,770 W 47th St,0,4,4
17-Aug-19,Texas,Houston,12500 block of Mylla St,0,6,6
15-Aug-19,Alabama,Montgomery,847 N University Dr,2,3,5
15-Aug-19,Pennsylvania,Philadelphia,1400 block of W Conlyn St,0,5,5
14-Aug-19,Pennsylvania,Philadelphia,3716 N 15th St,0,6,6
13-Aug-19,Washington,Tacoma,E 38th St and E Roosevelt Ave,2,3,5
12-Aug-19,Mississippi,Greenwood,200 Young St,0,4,4
11-Aug-19,Illinois,Chicago,3500 block of W Lake St,0,6,6
10-Aug-19,Virginia,Richmond,6346 Midlothian Turnpike,0,4,4
10-Aug-19,California,San Francisco,1100 Fillmore St,0,4,4
9-Aug-19,Illinois,Chicago,7300 block of S Artesian Ave,0,4,4
7-Aug-19,Missouri,Saint Louis,4900 block of Plover Ave,3,1,4
5-Aug-19,New York,Brooklyn,216 Buffalo Ave,0,4,4
4-Aug-19,Louisiana,Lake Charles,110 Pryce St,0,4,4
4-Aug-19,Illinois,Chicago,1800 S Kildare Ave,1,7,8
4-Aug-19,Tennessee,Memphis,443 E Shelby Dr,1,3,4
4-Aug-19,Illinois,Chicago,2900 block of W Roosevelt Rd,0,7,7
4-Aug-19,Ohio,Dayton,419 E 5th St,10,17,27
3-Aug-19,Texas,El Paso,7101 Gateway Blvd,23,23,46
2-Aug-19,Virginia,Suffolk,200 block of N Broad St,2,3,5
30-Jul-19,Ohio,Columbus,1280 E Long St,0,5,5
28-Jul-19,Pennsylvania,Philadelphia,2600 block of Carroll St,1,5,6
28-Jul-19,California,Gilroy,7050 Miller Ave,4,17,21
28-Jul-19,Wisconsin,Chippewa Falls,16964 54th Ave,5,2,7
28-Jul-19,District of Columbia,Washington,637 T St NW,0,4,4
28-Jul-19,Illinois,Chicago,3938 W Roosevelt Rd,0,4,4
27-Jul-19,Kansas,Wichita,505 N Rock Rd,1,3,4
27-Jul-19,New York,Brooklyn,1555 Linden Blvd,1,11,12
26-Jul-19,Washington,Kennewick,E 10th Ave,1,3,4
25-Jul-19,California,Canoga Park,21901 Roscoe Boulevard,4,2,6
21-Jul-19,Illinois,Chicago,3900 block of Roosevelt Rd,0,4,4
21-Jul-19,District of Columbia,Washington,2300 block of 15th St NE,0,4,4
20-Jul-19,Pennsylvania,Clairton,501 Waddell Ave,0,4,4
20-Jul-19,Maryland,Baltimore,2800 block of Boarman Ave,1,3,4
20-Jul-19,Illinois,Chicago,2401 N Lake Shore Dr,0,7,7
18-Jul-19,Illinois,Chicago,3427 W Fulton Blvd,1,3,4
17-Jul-19,Texas,Lubbock,N Elder Ave and E Colgate St,1,3,4
16-Jul-19,Texas,San Antonio,6989 San Pedro Ave,0,4,4
15-Jul-19,Georgia,Atlanta,1572 Hardee St NE,0,4,4
14-Jul-19,Illinois,Chicago,4600 block of W Erie St,0,4,4
13-Jul-19,Illinois,Chicago,7900 block of S Loomis Blvd,1,4,5
13-Jul-19,Pennsylvania,Philadelphia,5433 Lansdowne Ave,0,7,7
11-Jul-19,Texas,Houston,5901 Royal Palms St,0,4,4
8-Jul-19,District of Columbia,Washington,3900 Martin Luther King Jr Ave SW,2,2,4
7-Jul-19,Michigan,Flint,Clio Rd and Myrtle St,0,6,6
7-Jul-19,Missouri,Saint Louis,N Tucker Blvd and Convention Plaza,0,5,5
7-Jul-19,Illinois,Chicago,5600 block of S Paulina St,0,4,4
7-Jul-19,Illinois,Chicago,600 block of W 61st Pl,0,4,4
7-Jul-19,New Mexico,Albuquerque,211 Gold Ave SW,0,4,4
6-Jul-19,California,San Jose,3036 Quinto Way,0,4,4
6-Jul-19,Missouri,Saint Louis,1921 Chambers Rd,5,0,5
5-Jul-19,Massachusetts,Boston,Maple St,0,6,6
5-Jul-19,Nevada,Reno,600 block of Spokane St,1,5,6
5-Jul-19,Illinois,Chicago,1600 block of E 67th St,0,5,5
5-Jul-19,New York,Brooklyn,Elton St and Belmont Ave,0,4,4
4-Jul-19,Illinois,Rockford,1100 block of Preston St,0,4,4
4-Jul-19,California,Los Angeles,1900 block of Adair St,0,4,4
4-Jul-19,Illinois,Chicago,800 block of N Homan Ave,1,3,4
4-Jul-19,California,Fresno,4700 block of E Hamilton Ave,1,3,4
3-Jul-19,Texas,Katy,5507 Everhart Manor Ln,2,3,5
2-Jul-19,Missouri,Saint Louis (Wellston),6250 Page Ave,0,4,4
1-Jul-19,Maryland,Baltimore,1200 block of N Luzerne Ave,0,4,4
30-Jun-19,California,Oakland,3000 block of Brookdale Ave,0,4,4
30-Jun-19,California,Yucaipa,12700 block of California St,0,5,5
30-Jun-19,Texas,Dallas,3535 Munger Ave,2,2,4
30-Jun-19,New York,Bay Shore,Farragut Ave,0,6,6
29-Jun-19,Connecticut,Hartford,Judson St and Martin St,0,4,4
29-Jun-19,Louisiana,Gray,2700 block of W Park Ave,0,4,4
29-Jun-19,Illinois,Chicago,2400 block of W Jackson Blvd,0,5,5
29-Jun-19,Louisiana,Baton Rouge,7132 Florida Blvd,0,7,7
28-Jun-19,New Jersey,Paterson,50 block of Jefferson St,0,4,4
28-Jun-19,Connecticut,Hamden,937 Choate Ave,0,5,5
28-Jun-19,Georgia,Atlanta,Ira St and Bass St SW,0,7,7
28-Jun-19,New Jersey,Jersey City,167 Armstrong Ave,0,4,4
28-Jun-19,Minnesota,Saint Paul,909 Desoto St,0,5,5
27-Jun-19,Georgia,Atlanta,600 block of Parkway Dr,0,7,7
26-Jun-19,Ohio,Akron,900 block of Rowe St,1,3,4
26-Jun-19,Wisconsin,Milwaukee,2800 block of N 34th St,0,4,4
23-Jun-19,California,La Jolla,7500 block of Draper Ave,1,3,4
23-Jun-19,California,San Jose,568 Habbitts Court,5,0,5
23-Jun-19,Indiana,South Bend,1150 E Mishawaka Ave,1,10,11
23-Jun-19,Ohio,Columbus,1767 Genessee Ave,0,5,5
23-Jun-19,South Carolina,Abbeville,1108 Cambridge St,3,1,4
22-Jun-19,Virginia,Hampton,1st St and E Pembroke Ave,0,4,4
22-Jun-19,Pennsylvania,Philadelphia,2400 block of Moore St,0,4,4
22-Jun-19,Maryland,Baltimore,800 block of N Port St,1,4,5
21-Jun-19,Michigan,Saginaw,1506 N Charles St,1,3,4
21-Jun-19,Illinois,Chicago,6300 block of S King Dr,0,4,4
21-Jun-19,California,Santa Maria,519  West Taylor St,5,0,5
21-Jun-19,California,Richmond,700 block of 14th St,0,5,5
20-Jun-19,Pennsylvania,Allentown,343 Hamilton St,0,10,10
18-Jun-19,New Jersey,Newark,700 block of Dr Martin Luther King Jr Blvd,1,4,5
17-Jun-19,Texas,San Antonio,E Market St and Tower of the Americas Way,0,4,4
17-Jun-19,Tennessee,Memphis,2872 Coach Dr,0,5,5
16-Jun-19,Pennsylvania,Philadelphia,6900 block of Reedbird Pl,1,5,6
16-Jun-19,Kentucky,Louisville,Dixie Highway and Ormsby Ave,1,6,7
16-Jun-19,Iowa,Des Moines,1200 block of Sampson St,0,6,6
15-Jun-19,Louisiana,Shreveport,2500 block of Hollywood Ave,0,4,4
12-Jun-19,North Carolina,Charlotte,305 N Graham St,1,3,4
11-Jun-19,Colorado,Aurora,12500 block of E Kansas Pl,0,4,4
11-Jun-19,Georgia,Savannah,6900 Block of Damascus Rd,2,2,4
9-Jun-19,Ohio,Cleveland,17218 Tarkington Ave,1,3,4
9-Jun-19,New York,Buffalo,2081 Niagara St,0,4,4
9-Jun-19,Tennessee,Henning,265 N Main St,1,3,4
8-Jun-19,Washington,White Swan,5151 Medicine Valley Rd,5,2,7
8-Jun-19,Illinois,Chicago,3500 block of W North Ave,0,4,4
7-Jun-19,Texas,Austin,8220 TX-71,0,5,5
6-Jun-19,Illinois,Chicago,2500 block of N Lake Shore Dr,1,3,4
5-Jun-19,California,Santa Rosa,828 W 9th Street,0,4,4
1-Jun-19,South Carolina,Allendale,473 Main St S,0,5,5
1-Jun-19,Illinois,Chicago,300 block of East Chicago Ave,0,4,4
1-Jun-19,Virginia,Portsmouth,1100 block of Mt Vernon Ave,1,3,4
1-Jun-19,Illinois,Chicago,5600 block of West Madison St,0,4,4
1-Jun-19,Georgia,Atlanta,12 Broad Street,0,5,5
1-Jun-19,Georgia,Macon,Suzanne Dr and Robinson Dr,2,4,6
31-May-19,Virginia,Virginia Beach,2405 Courthouse Drive,13,4,17
31-May-19,California,West Covina,306 N Hollow Ave,1,3,4
30-May-19,Illinois,Robbins,14000 block of Grace Ave,0,5,5
29-May-19,Texas,Cleveland,26311 TX-321,3,2,5
29-May-19,Louisiana,Reserve,300 block of Homewood Place,1,3,4
27-May-19,Missouri,Saint Louis,5900 block of Goodfellow Blvd,2,2,4
27-May-19,District of Columbia,Washington,1200 block of Sumner Rd SE,0,5,5
27-May-19,New Jersey,Trenton,100 block of Walnut St,1,5,6
26-May-19,District of Columbia,Washington,3509 Wheeler Rd SE,1,3,4
26-May-19,Virginia,La Crosse,800 block of Alvis Road,0,5,5
26-May-19,California,Stockton,600 block of E Oak St,1,3,4
25-May-19,New Jersey,Trenton,225 Brunswick Ave,0,9,9
25-May-19,Michigan,Detroit,3400 block of Devonshire,3,2,5
25-May-19,Virginia,Chesapeake,Holly Cove Dr and Schooner Trail,1,9,10
25-May-19,Maryland,Baltimore,500 block of N Belnord Ave,0,4,4
25-May-19,Oklahoma,Oklahoma City,N Kelley Ave and NE 26th St,0,5,5
20-May-19,Oklahoma,Tulsa,8118 E 16th St,2,2,4
20-May-19,Louisiana,Alexandria,1900 block of Bacon Street,1,4,5
20-May-19,Ohio,Columbus,2424 Sullivant Ave,0,4,4
19-May-19,Oregon,Portland,226 SE Madison St,0,5,5
18-May-19,Mississippi,Cascilla,700 Leverette Ln,1,4,5
18-May-19,Alabama,Atmore,100 Martin Luther King Avenue,1,8,9
18-May-19,Indiana,Muncie,2410 W. Euclid Ave,1,6,7
18-May-19,California,Long Beach,1616 West Pacific Coast Highway,1,4,5
18-May-19,Iowa,Cedar Rapids,70 Kirkwood Ct SW,2,2,4
18-May-19,Nebraska,Omaha,2825 Y St,0,4,4
18-May-19,North Carolina,Winston Salem (Winston-salem),4252 Cody Drive,2,4,6
17-May-19,California,Sacramento,7326 Stockton Blvd,1,3,4
16-May-19,Ohio,Cleveland,9500 Cardwell Ave,0,4,4
15-May-19,Louisiana,Saint Rose,100 block of St. Rose Ave,0,4,4
14-May-19,California,Los Angeles,1248 W 47th St,0,4,4
13-May-19,Louisiana,New Orleans,2100 block of 4th St,0,4,4
13-May-19,Missouri,Saint Louis,4047 Shreve Ave,4,1,5
11-May-19,Pennsylvania,Effort,Toll Rd and Bayberry Rd,0,4,4
10-May-19,Pennsylvania,Philadelphia,1900 block of N Croskey St,0,5,5
10-May-19,Missouri,Saint Louis,4000 block of Ashland Ave,0,6,6
8-May-19,Indiana,Indianapolis,Roache St and Rader St,0,4,4
7-May-19,Colorado,Littleton (Highlands Ranch),8773 S Ridgeline Blvd,1,8,9
5-May-19,New Jersey,North Bergen,2033 45th Street,1,4,5
5-May-19,California,Oceano,1001 Cabrillo Hwy,0,6,6
4-May-19,Missouri,Saint Louis,Union Blvd and Northland Ave,1,4,5
4-May-19,Indiana,Indianapolis,101 W Maryland St,0,4,4
4-May-19,California,Stockton,5105 Holiday Dr,1,4,5
4-May-19,Delaware,Wilmington,W 27th St and Tatnall St,0,4,4
3-May-19,Texas,Dallas,5400 Cedar Springs Rd,1,3,4
3-May-19,Maryland,Baltimore,1900 block of Ramsay St,0,5,5
3-May-19,Maryland,Baltimore,2500 block of E Biddle St,0,4,4
1-May-19,Massachusetts,Boston,32 Windermere Rd,1,3,4
30-Apr-19,North Carolina,Charlotte,9214 South Library Ln,2,4,6
28-Apr-19,Tennessee,Nashville,1407 Dr DB Todd Jr Blvd,0,7,7
28-Apr-19,Alabama,Birmingham,514 19th St Ensley,0,4,4
28-Apr-19,Maryland,Baltimore,2544 Edmondson Ave,1,7,8
28-Apr-19,Ohio,West Chester,4637 Wyndtree Dr,4,0,4
27-Apr-19,Mississippi,Jackson,700 block of Monterey St,1,3,4
27-Apr-19,California,Poway,16934 Chabad Way,1,3,4
27-Apr-19,California,Los Angeles,700 N San Fernando Rd,0,6,6
21-Apr-19,Pennsylvania,Philadelphia,1500 block of South 31st St,0,4,4
20-Apr-19,Tennessee,Memphis,761 Chestnut Ave,0,6,6
19-Apr-19,Kansas,Wichita,1628 S George Washington Blvd,0,4,4
18-Apr-19,Kentucky,Louisville,4000 block of Bells Ln,0,4,4
16-Apr-19,Maryland,Germantown,18700 block of Curry Powder Ln,1,3,4
14-Apr-19,Florida,Miami,NW 19th Ave and 60th St,2,2,4
14-Apr-19,California,Vallejo,100 block of Princeton Ave,1,3,4
14-Apr-19,California,Stockton,2539 E Main St,0,4,4
13-Apr-19,California,Moreno Valley,23500 block of Alessandro Blvd,0,4,4
12-Apr-19,Illinois,Carbondale,119 N Washington St,0,4,4
11-Apr-19,Maryland,Baltimore,2200 block of Ruskin Ave,1,3,4
11-Apr-19,California,Los Angeles,E 103rd St and S Main St,1,4,5
11-Apr-19,Arizona,Phoenix,7112 W Minnezona Ave,3,2,5
9-Apr-19,Missouri,Kansas City,5339 Michigan Ave,1,3,4
7-Apr-19,North Carolina,Winston Salem (Winston-salem),515 N Cherry St,0,7,7
7-Apr-19,Indiana,Indianapolis,3600 block of Roosevelt Ave,2,2,4
7-Apr-19,Delaware,Wilmington,940 N Pine St,0,6,6
7-Apr-19,Louisiana,Shreveport,433 Flournoy Lucas Rd,0,4,4
6-Apr-19,Florida,Tallahassee,500 block of Kissimmee St,0,4,4
6-Apr-19,Illinois,Chicago,6300 block of S Seeley Ave,0,6,6
4-Apr-19,Florida,Panama City,100 block of Allen Ave,1,3,4
4-Apr-19,Georgia,Stockbridge,300 block of Eagle Ct,3,2,5
2-Apr-19,Mississippi,Hermanville,13195 MS 18,0,4,4
2-Apr-19,Kentucky,Covington,337 E 13th St,0,5,5
31-Mar-19,Georgia,Atlanta,3041 Landrum Dr SW,1,4,5
31-Mar-19,South Carolina,North Charleston,1900 block of Jacksonville Rd,0,7,7
31-Mar-19,Illinois,Chicago,500 block of N Hamlin Ave,1,4,5
28-Mar-19,Maryland,Baltimore,6200 block of Boston St,0,4,4
25-Mar-19,Nevada,North Las Vegas,2400 block of W San Miguel St,0,5,5
24-Mar-19,California,San Francisco,1300 Fillmore St,1,5,6
24-Mar-19,Arizona,Phoenix,2202 W McDowell Rd,0,7,7
19-Mar-19,Arizona,Phoenix,8526 N 27th Ave,2,4,6
17-Mar-19,Georgia,Augusta,900 block of Broad St,0,4,4
17-Mar-19,Georgia,Rochelle,Dennis St,1,3,4
17-Mar-19,Nevada,Las Vegas,600 E Fremont St,0,4,4
16-Mar-19,New Jersey,Camden,619 Ferry Ave,1,3,4
15-Mar-19,Alabama,Mobile,515 Dauphin Island Pkwy,2,4,6
14-Mar-19,Montana,Missoula,5145 Airway Blvd,1,3,4
11-Mar-19,New Jersey,Paterson,291 12th Ave,0,4,4
10-Mar-19,Louisiana,Shreveport,2700 block of San Jacinto Ave,0,4,4
10-Mar-19,Colorado,Denver,15th St and Market St,1,4,5
3-Mar-19,California,Oakland,316 14th St,0,4,4
3-Mar-19,Illinois,Chicago,2900 block of E 79th St,0,6,6
2-Mar-19,Arkansas,Pine Bluff,723 East 25th Ave,1,4,5
28-Feb-19,California,Oakland,9755 Edes Ave,1,3,4
22-Feb-19,Alabama,Birmingham,1100 block of Carnation Dr,2,2,4
21-Feb-19,Maryland,Baltimore,500 block of Bloom St,1,4,5
21-Feb-19,Kentucky,Elizabethtown,600 N Miles St,2,2,4
21-Feb-19,Texas,Houston,12800 block of Eastbrook Dr,2,2,4
20-Feb-19,Tennessee,Covington,529 N College St,0,4,4
17-Feb-19,Texas,Henderson,504 S Van Buren St,2,2,4
17-Feb-19,Indiana,Evansville,664 E Illinois St,0,5,5
17-Feb-19,Louisiana,New Orleans,Tulane Ave and Elk Pl,1,5,6
16-Feb-19,Mississippi,Clinton,1214 Foxhill Dr,5,0,5
15-Feb-19,Illinois,Aurora,641 Archer Ave,6,6,12
11-Feb-19,Texas,Livingston,3628 FM 3126,5,0,5
9-Feb-19,Virginia,Petersburg,109 Perry St,0,4,4
6-Feb-19,New York,Brooklyn,1778 Fulton St,1,3,4
5-Feb-19,Texas,San Antonio,538 Hot Wells Blvd,2,2,4
4-Feb-19,District of Columbia,Washington,2341 Pennsylvania Ave SE,0,5,5
